,action_set_list,map_name_list,policy_type_list,first_v_bias,every_v_bias,first_v_var,every_v_var
0,default,small,optimal,0.305043125,0.305043125,0.1502821591933594,0.1502821591933594
1,default,small,stochastic,0.0004712400552823062,0.0005660137008631353,0.018336775788907068,0.018104071271786402
2,slippery,small,optimal,0.037843944370291385,0.041041043356567185,0.02866093263868505,0.027956576118892622
3,slippery,small,stochastic,0.000817023469563868,0.00523039411790794,0.019678133982260658,0.01903805779653583
4,default,medium,stochastic,0.007753947572771515,0.00998266873508906,0.011824818588438056,0.010956472718681871
5,slippery,medium,stochastic,0.0064573330174812335,0.009831715829721402,0.011640555162843626,0.011399469821245048
6,default,large,stochastic,0.03153120749687498,0.03264499808879906,0.008023822175243112,0.005619576857315584
7,slippery,large,stochastic,0.03264131117734171,0.03640003547979444,0.0093534804647885955,0.00859553373146153
8,default,huge,stochastic,0.11396079898002162,0.11407635505347151,0.007523356094480804,0.007478568152254642
9,slippery,huge,stochastic,0.1110998038810646,0.11145735371912359,0.008438508338419748,0.007921405501441579
10,default,colossal,stochastic,0.19183673310457353,0.19205817060385144,0.001743248280077212,0.0016544688074396161
11,slippery,colossal,stochastic,0.1916431288315285,0.19212565361308306,0.0017705927331297577,0.00163696180351512
